,Class,SubClass,Name,Type,Item,Content,Rank,Average,123123
24,畜肉类及制品,猪,猪肉(奶面)[硬五花],矿物质,硒(Se),6.00μg,31,11.94μg,
25,畜肉类及制品,猪,猪肉(奶面)[硬五花],矿物质,铜(Cu),0.12mg,18,0.16mg,
26,畜肉类及制品,猪,猪肉(奶面)[硬五花],矿物质,锰(Mn),0.01mg,38,0.08mg,
27,畜肉类及制品,猪,猪肉(奶面)[硬五花],矿物质,碘(I),,,,
28,畜肉类及制品,猪,猪肉(奶面)[硬五花],脂肪酸,饱和脂肪酸(SFA),36.8%,22,31.9%,
29,畜肉类及制品,猪,猪肉(奶面)[硬五花],脂肪酸,单不饱和脂肪酸(MUFA),45.6%,21,39.6%,
30,畜肉类及制品,猪,猪肉(奶面)[硬五花],脂肪酸,多不饱和脂肪酸(PUFA),11.6%,13,11.3%,
31,畜肉类及制品,猪,猪肉(奶面)[硬五花],脂肪酸,合计(Total),95.6%,33,83.0%,
0,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],类型,项目,含量,同类排名,同类均值,含量水平
1,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],能量与相关成分,食部(Edible),100%,1,96%,
2,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],能量与相关成分,水分(Water),14.5g,5,47.6g,
3,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],能量与相关成分,能量(Energy),1429kJ,3,875kJ,
4,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],能量与相关成分,蛋白质(Protein),2.7g,3,3.0g,
5,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],能量与相关成分,脂肪(Fat),0.2g,4,0.3g,
6,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],能量与相关成分,胆固醇(Cholesterol),,,,
7,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],能量与相关成分,灰分(Ash),1.7g,3,1.3g,
8,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],能量与相关成分,碳水化合物(CHO),80.9g,1,47.7g,
9,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],维生素,胡萝卜素(Carotene),20.0μg,6,184.3μg,
11,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],维生素,维生素A(Vitamin),,,,
12,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],维生素,α-TE,—,,,
13,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],维生素,硫胺素(Thiamin),0.03mg,7,0.09mg,
14,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],维生素,核黄素(Riboflavin),0.05mg,4,0.06mg,
15,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],维生素,烟酸(Niacin),0.20mg,7,1.41mg,
16,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],维生素,维生素C(Vitamin C),,,,
17,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,钙(Ca),33mg,4,66mg,
18,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,磷(P),12mg,7,61mg,
19,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,钾(K),66mg,7,415mg,
20,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,钠(Na),26.4mg,3,22.1mg,
21,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,镁(Mg),102mg,1,50mg,
22,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,铁(Fe),10.0mg,2,4.1mg,
23,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,锌(Zn),0.29mg,4,0.37mg,
24,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,硒(Se),2.60μg,1,1.24μg,
25,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,铜(Cu),0.05mg,6,0.30mg,
26,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,锰(Mn),0.33mg,3,0.33mg,
27,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],矿物质,碘(I),,,,
28,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],脂肪酸,饱和脂肪酸(SFA),—,,,
29,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,薯类、淀粉及制品,薯类,甘薯粉[地瓜粉],脂肪酸,合计(Total),—,,,
0,薯类、淀粉及制品,薯类,马铃薯粉,类型,项目,含量,同类排名,同类均值,含量水平
1,薯类、淀粉及制品,薯类,马铃薯粉,能量与相关成分,食部(Edible),100%,1,96%,
2,薯类、淀粉及制品,薯类,马铃薯粉,能量与相关成分,水分(Water),12.0g,7,47.6g,
3,薯类、淀粉及制品,薯类,马铃薯粉,能量与相关成分,能量(Energy),1457kJ,2,875kJ,
4,薯类、淀粉及制品,薯类,马铃薯粉,能量与相关成分,蛋白质(Protein),7.2g,1,3.0g,
5,薯类、淀粉及制品,薯类,马铃薯粉,能量与相关成分,脂肪(Fat),0.5g,2,0.3g,
6,薯类、淀粉及制品,薯类,马铃薯粉,能量与相关成分,胆固醇(Cholesterol),,,,
7,薯类、淀粉及制品,薯类,马铃薯粉,能量与相关成分,灰分(Ash),2.9g,1,1.3g,
8,薯类、淀粉及制品,薯类,马铃薯粉,能量与相关成分,碳水化合物(CHO),77.4g,3,47.7g,
9,薯类、淀粉及制品,薯类,马铃薯粉,能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,薯类、淀粉及制品,薯类,马铃薯粉,维生素,胡萝卜素(Carotene),120.0μg,4,184.3μg,
11,薯类、淀粉及制品,薯类,马铃薯粉,维生素,维生素A(Vitamin),,,,
12,薯类、淀粉及制品,薯类,马铃薯粉,维生素,α-TE,—,,,
13,薯类、淀粉及制品,薯类,马铃薯粉,维生素,硫胺素(Thiamin),0.08mg,3,0.09mg,
14,薯类、淀粉及制品,薯类,马铃薯粉,维生素,核黄素(Riboflavin),0.06mg,3,0.06mg,
15,薯类、淀粉及制品,薯类,马铃薯粉,维生素,烟酸(Niacin),5.10mg,1,1.41mg,
16,薯类、淀粉及制品,薯类,马铃薯粉,维生素,维生素C(Vitamin C),,,,
17,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,钙(Ca),171mg,1,66mg,
18,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,磷(P),123mg,1,61mg,
19,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,钾(K),1075mg,1,415mg,
20,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,钠(Na),4.7mg,6,22.1mg,
21,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,镁(Mg),27mg,4,50mg,
22,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,铁(Fe),10.7mg,1,4.1mg,
23,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,锌(Zn),1.22mg,1,0.37mg,
24,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,硒(Se),1.60μg,3,1.24μg,
25,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,铜(Cu),1.06mg,1,0.30mg,
26,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,锰(Mn),0.37mg,2,0.33mg,
27,薯类、淀粉及制品,薯类,马铃薯粉,矿物质,碘(I),,,,
28,薯类、淀粉及制品,薯类,马铃薯粉,脂肪酸,饱和脂肪酸(SFA),—,,,
29,薯类、淀粉及制品,薯类,马铃薯粉,脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,薯类、淀粉及制品,薯类,马铃薯粉,脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,薯类、淀粉及制品,薯类,马铃薯粉,脂肪酸,合计(Total),—,,,
0,禽肉类及制品,鸡,鸡腿,类型,项目,含量,同类排名,同类均值,含量水平
1,禽肉类及制品,鸡,鸡腿,能量与相关成分,食部(Edible),69%,9,79%,
2,禽肉类及制品,鸡,鸡腿,能量与相关成分,水分(Water),70.2g,8,63.5g,
3,禽肉类及制品,鸡,鸡腿,能量与相关成分,能量(Energy),753kJ,7,811kJ,
4,禽肉类及制品,鸡,鸡腿,能量与相关成分,蛋白质(Protein),16.0g,12,18.3g,
5,禽肉类及制品,鸡,鸡腿,能量与相关成分,脂肪(Fat),13.0g,5,10.8g,
6,禽肉类及制品,鸡,鸡腿,能量与相关成分,胆固醇(Cholesterol),162mg,6,145mg,
7,禽肉类及制品,鸡,鸡腿,能量与相关成分,灰分(Ash),0.8g,13,1.5g,
8,禽肉类及制品,鸡,鸡腿,能量与相关成分,碳水化合物(CHO),Tr,,,
9,禽肉类及制品,鸡,鸡腿,能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,禽肉类及制品,鸡,鸡腿,维生素,胡萝卜素(Carotene),,,,
11,禽肉类及制品,鸡,鸡腿,维生素,维生素A(Vitamin),44.0μg,9,805.2μg,
12,禽肉类及制品,鸡,鸡腿,维生素,α-TE,—,,,
13,禽肉类及制品,鸡,鸡腿,维生素,硫胺素(Thiamin),0.02mg,11,0.09mg,
14,禽肉类及制品,鸡,鸡腿,维生素,核黄素(Riboflavin),0.14mg,6,0.19mg,
15,禽肉类及制品,鸡,鸡腿,维生素,烟酸(Niacin),6.00mg,8,7.11mg,
16,禽肉类及制品,鸡,鸡腿,维生素,维生素C(Vitamin C),,,,
17,禽肉类及制品,鸡,鸡腿,矿物质,钙(Ca),6mg,14,22mg,
18,禽肉类及制品,鸡,鸡腿,矿物质,磷(P),172mg,5,150mg,
19,禽肉类及制品,鸡,鸡腿,矿物质,钾(K),242mg,6,208mg,
20,禽肉类及制品,鸡,鸡腿,矿物质,钠(Na),64.4mg,10,280.8mg,
21,禽肉类及制品,鸡,鸡腿,矿物质,镁(Mg),34mg,3,21mg,
22,禽肉类及制品,鸡,鸡腿,矿物质,铁(Fe),1.5mg,11,4.7mg,
23,禽肉类及制品,鸡,鸡腿,矿物质,锌(Zn),1.12mg,7,1.42mg,
24,禽肉类及制品,鸡,鸡腿,矿物质,硒(Se),12.40μg,3,10.79μg,
25,禽肉类及制品,鸡,鸡腿,矿物质,铜(Cu),0.09mg,7,0.25mg,
26,禽肉类及制品,鸡,鸡腿,矿物质,锰(Mn),0.03mg,8,0.09mg,
27,禽肉类及制品,鸡,鸡腿,矿物质,碘(I),,,,
28,禽肉类及制品,鸡,鸡腿,脂肪酸,饱和脂肪酸(SFA),34.2%,5,32.0%,
29,禽肉类及制品,鸡,鸡腿,脂肪酸,单不饱和脂肪酸(MUFA),41.3%,7,36.9%,
30,禽肉类及制品,鸡,鸡腿,脂肪酸,多不饱和脂肪酸(PUFA),23.9%,3,16.9%,
31,禽肉类及制品,鸡,鸡腿,脂肪酸,合计(Total),99.4%,6,85.8%,
0,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),类型,项目,含量,同类排名,同类均值,含量水平
1,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),能量与相关成分,食部(Edible),100%,1,100%,
2,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),能量与相关成分,水分(Water),88.6g,6,88.7g,
3,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),能量与相关成分,能量(Energy),187kJ,9,194kJ,
4,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),能量与相关成分,蛋白质(Protein),0.7g,1,0.4g,
5,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),能量与相关成分,脂肪(Fat),0.1g,7,0.3g,
6,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),能量与相关成分,胆固醇(Cholesterol),—,,,
7,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),能量与相关成分,灰分(Ash),0.4g,1,0.2g,
8,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),能量与相关成分,碳水化合物(CHO),10.2g,8,10.5g,
9,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),能量与相关成分,总膳食纤维(Dietary fiber),0.20g,3,0.1g,
10,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),维生素,胡萝卜素(Carotene),—,,,
11,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),维生素,维生素A(Vitamin),0.0μg,1,0.0μg,
12,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),维生素,α-TE,—,,,
13,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),维生素,硫胺素(Thiamin),0.06mg,1,0.02mg,
14,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),维生素,核黄素(Riboflavin),0.02mg,1,0.01mg,
15,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),维生素,烟酸(Niacin),0.21mg,1,0.05mg,
16,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),维生素,维生素C(Vitamin C),32.0mg,6,19.5mg,
17,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,钙(Ca),3mg,8,8mg,
18,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,磷(P),20mg,1,9mg,
19,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,钾(K),175mg,3,91mg,
20,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,钠(Na),1.6mg,10,5.5mg,
21,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,镁(Mg),10mg,3,6mg,
22,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,铁(Fe),0.1mg,4,0.2mg,
23,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,锌(Zn),0.03mg,10,0.12mg,
24,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,硒(Se),0.10μg,4,0.09μg,
25,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,铜(Cu),0.03mg,2,0.03mg,
26,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,锰(Mn),0.00mg,12,0.26mg,
27,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),矿物质,碘(I),0.1μg,5,0.8μg,
28,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),脂肪酸,饱和脂肪酸(SFA),—,,,
29,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,饮料类,果汁及果汁饮料,橙汁饮料(光明牌),脂肪酸,合计(Total),—,,,
0,饮料类,果汁及果汁饮料,甘蔗汁,类型,项目,含量,同类排名,同类均值,含量水平
1,饮料类,果汁及果汁饮料,甘蔗汁,能量与相关成分,食部(Edible),100%,1,100%,
2,饮料类,果汁及果汁饮料,甘蔗汁,能量与相关成分,水分(Water),83.1g,13,88.7g,
3,饮料类,果汁及果汁饮料,甘蔗汁,能量与相关成分,能量(Energy),283kJ,1,194kJ,
4,饮料类,果汁及果汁饮料,甘蔗汁,能量与相关成分,蛋白质(Protein),0.4g,6,0.4g,
5,饮料类,果汁及果汁饮料,甘蔗汁,能量与相关成分,脂肪(Fat),0.1g,7,0.3g,
6,饮料类,果汁及果汁饮料,甘蔗汁,能量与相关成分,胆固醇(Cholesterol),,,,
7,饮料类,果汁及果汁饮料,甘蔗汁,能量与相关成分,灰分(Ash),0.4g,1,0.2g,
8,饮料类,果汁及果汁饮料,甘蔗汁,能量与相关成分,碳水化合物(CHO),16.0g,1,10.5g,
9,饮料类,果汁及果汁饮料,甘蔗汁,能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,饮料类,果汁及果汁饮料,甘蔗汁,维生素,胡萝卜素(Carotene),10.0μg,3,107.5μg,
11,饮料类,果汁及果汁饮料,甘蔗汁,维生素,维生素A(Vitamin),,,,
12,饮料类,果汁及果汁饮料,甘蔗汁,维生素,α-TE,—,,,
13,饮料类,果汁及果汁饮料,甘蔗汁,维生素,硫胺素(Thiamin),0.01mg,6,0.02mg,
14,饮料类,果汁及果汁饮料,甘蔗汁,维生素,核黄素(Riboflavin),0.02mg,1,0.01mg,
15,饮料类,果汁及果汁饮料,甘蔗汁,维生素,烟酸(Niacin),0.20mg,2,0.05mg,
16,饮料类,果汁及果汁饮料,甘蔗汁,维生素,维生素C(Vitamin C),2.0mg,8,19.5mg,
17,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,钙(Ca),14mg,2,8mg,
18,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,磷(P),14mg,3,9mg,
19,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,钾(K),95mg,5,91mg,
20,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,钠(Na),3.0mg,7,5.5mg,
21,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,镁(Mg),4mg,6,6mg,
22,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,铁(Fe),0.4mg,1,0.2mg,
23,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,锌(Zn),1.00mg,1,0.12mg,
24,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,硒(Se),0.10μg,4,0.09μg,
25,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,铜(Cu),0.14mg,1,0.03mg,
26,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,锰(Mn),0.80mg,2,0.26mg,
27,饮料类,果汁及果汁饮料,甘蔗汁,矿物质,碘(I),,,,
28,饮料类,果汁及果汁饮料,甘蔗汁,脂肪酸,饱和脂肪酸(SFA),—,,,
29,饮料类,果汁及果汁饮料,甘蔗汁,脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,饮料类,果汁及果汁饮料,甘蔗汁,脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,饮料类,果汁及果汁饮料,甘蔗汁,脂肪酸,合计(Total),—,,,
0,水果类及制品,仁果类,红元帅苹果,类型,项目,含量,同类排名,同类均值,含量水平
1,水果类及制品,仁果类,红元帅苹果,能量与相关成分,食部(Edible),84%,26,83%,
2,水果类及制品,仁果类,红元帅苹果,能量与相关成分,水分(Water),84.9g,32,83.3g,
3,水果类及制品,仁果类,红元帅苹果,能量与相关成分,能量(Energy),261kJ,13,287kJ,
4,水果类及制品,仁果类,红元帅苹果,能量与相关成分,蛋白质(Protein),0.2g,31,0.5g,
5,水果类及制品,仁果类,红元帅苹果,能量与相关成分,脂肪(Fat),0.4g,6,0.6g,
6,水果类及制品,仁果类,红元帅苹果,能量与相关成分,胆固醇(Cholesterol),,,,
7,水果类及制品,仁果类,红元帅苹果,能量与相关成分,灰分(Ash),0.2g,30,0.4g,
8,水果类及制品,仁果类,红元帅苹果,能量与相关成分,碳水化合物(CHO),14.3g,14,15.2g,
9,水果类及制品,仁果类,红元帅苹果,能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,水果类及制品,仁果类,红元帅苹果,维生素,胡萝卜素(Carotene),40.0μg,14,42.7μg,
11,水果类及制品,仁果类,红元帅苹果,维生素,维生素A(Vitamin),,,,
12,水果类及制品,仁果类,红元帅苹果,维生素,α-TE,—,,,
13,水果类及制品,仁果类,红元帅苹果,维生素,硫胺素(Thiamin),0.02mg,19,0.02mg,
14,水果类及制品,仁果类,红元帅苹果,维生素,核黄素(Riboflavin),0.01mg,32,0.04mg,
15,水果类及制品,仁果类,红元帅苹果,维生素,烟酸(Niacin),0.20mg,14,0.23mg,
16,水果类及制品,仁果类,红元帅苹果,维生素,维生素C(Vitamin C),3.0mg,25,6.5mg,
17,水果类及制品,仁果类,红元帅苹果,矿物质,钙(Ca),2mg,34,12mg,
18,水果类及制品,仁果类,红元帅苹果,矿物质,磷(P),1mg,40,21mg,
19,水果类及制品,仁果类,红元帅苹果,矿物质,钾(K),58mg,34,106mg,
20,水果类及制品,仁果类,红元帅苹果,矿物质,钠(Na),0.7mg,35,2.3mg,
21,水果类及制品,仁果类,红元帅苹果,矿物质,镁(Mg),8mg,13,7mg,
22,水果类及制品,仁果类,红元帅苹果,矿物质,铁(Fe),0.3mg,25,0.7mg,
23,水果类及制品,仁果类,红元帅苹果,矿物质,锌(Zn),0.09mg,22,0.27mg,
24,水果类及制品,仁果类,红元帅苹果,矿物质,硒(Se),,,,
25,水果类及制品,仁果类,红元帅苹果,矿物质,铜(Cu),0.04mg,37,0.53mg,
26,水果类及制品,仁果类,红元帅苹果,矿物质,锰(Mn),,,,
27,水果类及制品,仁果类,红元帅苹果,矿物质,碘(I),,,,
28,水果类及制品,仁果类,红元帅苹果,脂肪酸,饱和脂肪酸(SFA),—,,,
29,水果类及制品,仁果类,红元帅苹果,脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,水果类及制品,仁果类,红元帅苹果,脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,水果类及制品,仁果类,红元帅苹果,脂肪酸,合计(Total),—,,,
0,坚果、种子类,树坚果,山核桃(干),类型,项目,含量,同类排名,同类均值,含量水平
1,坚果、种子类,树坚果,山核桃(干),能量与相关成分,食部(Edible),24%,19,64%,
2,坚果、种子类,树坚果,山核桃(干),能量与相关成分,水分(Water),2.2g,16,15.7g,
3,坚果、种子类,树坚果,山核桃(干),能量与相关成分,能量(Energy),2616kJ,6,2100kJ,
4,坚果、种子类,树坚果,山核桃(干),能量与相关成分,蛋白质(Protein),18.0g,7,14.3g,
5,坚果、种子类,树坚果,山核桃(干),能量与相关成分,脂肪(Fat),50.4g,8,35.7g,
6,坚果、种子类,树坚果,山核桃(干),能量与相关成分,胆固醇(Cholesterol),,,,
7,坚果、种子类,树坚果,山核桃(干),能量与相关成分,灰分(Ash),3.2g,5,2.5g,
8,坚果、种子类,树坚果,山核桃(干),能量与相关成分,碳水化合物(CHO),26.2g,10,31.8g,
9,坚果、种子类,树坚果,山核桃(干),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,坚果、种子类,树坚果,山核桃(干),维生素,胡萝卜素(Carotene),30.0μg,8,43.5μg,
11,坚果、种子类,树坚果,山核桃(干),维生素,维生素A(Vitamin),,,,
12,坚果、种子类,树坚果,山核桃(干),维生素,α-TE,—,,,
13,坚果、种子类,树坚果,山核桃(干),维生素,硫胺素(Thiamin),0.16mg,9,0.18mg,
14,坚果、种子类,树坚果,山核桃(干),维生素,核黄素(Riboflavin),0.09mg,17,0.27mg,
15,坚果、种子类,树坚果,山核桃(干),维生素,烟酸(Niacin),0.50mg,16,1.81mg,
16,坚果、种子类,树坚果,山核桃(干),维生素,维生素C(Vitamin C),,,,
17,坚果、种子类,树坚果,山核桃(干),矿物质,钙(Ca),57mg,10,102mg,
18,坚果、种子类,树坚果,山核桃(干),矿物质,磷(P),521mg,3,236mg,
19,坚果、种子类,树坚果,山核桃(干),矿物质,钾(K),237mg,11,323mg,
20,坚果、种子类,树坚果,山核桃(干),矿物质,钠(Na),250.7mg,4,96.3mg,
21,坚果、种子类,树坚果,山核桃(干),矿物质,镁(Mg),306mg,4,141mg,
22,坚果、种子类,树坚果,山核桃(干),矿物质,铁(Fe),6.8mg,1,3.5mg,
23,坚果、种子类,树坚果,山核桃(干),矿物质,锌(Zn),6.42mg,3,3.44mg,
24,坚果、种子类,树坚果,山核桃(干),矿物质,硒(Se),0.90μg,10,6.00μg,
25,坚果、种子类,树坚果,山核桃(干),矿物质,铜(Cu),2.14mg,3,0.99mg,
26,坚果、种子类,树坚果,山核桃(干),矿物质,锰(Mn),8.16mg,4,3.95mg,
27,坚果、种子类,树坚果,山核桃(干),矿物质,碘(I),,,,
28,坚果、种子类,树坚果,山核桃(干),脂肪酸,饱和脂肪酸(SFA),—,,,
29,坚果、种子类,树坚果,山核桃(干),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,坚果、种子类,树坚果,山核桃(干),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,坚果、种子类,树坚果,山核桃(干),脂肪酸,合计(Total),—,,,
0,调味品类,酱油,酱油(均值),类型,项目,含量,同类排名,同类均值,含量水平
1,调味品类,酱油,酱油(均值),能量与相关成分,食部(Edible),100%,1,100%,
2,调味品类,酱油,酱油(均值),能量与相关成分,水分(Water),67.3g,3,69.1g,
3,调味品类,酱油,酱油(均值),能量与相关成分,能量(Energy),271kJ,2,268kJ,
4,调味品类,酱油,酱油(均值),能量与相关成分,蛋白质(Protein),5.6g,2,5.9g,
5,调味品类,酱油,酱油(均值),能量与相关成分,脂肪(Fat),0.1g,3,0.2g,
6,调味品类,酱油,酱油(均值),能量与相关成分,胆固醇(Cholesterol),,,,
7,调味品类,酱油,酱油(均值),能量与相关成分,灰分(Ash),16.9g,1,15.8g,
8,调味品类,酱油,酱油(均值),能量与相关成分,碳水化合物(CHO),10.1g,2,9.5g,
9,调味品类,酱油,酱油(均值),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,调味品类,酱油,酱油(均值),维生素,胡萝卜素(Carotene),,,,
11,调味品类,酱油,酱油(均值),维生素,维生素A(Vitamin),,,,
12,调味品类,酱油,酱油(均值),维生素,α-TE,—,,,
13,调味品类,酱油,酱油(均值),维生素,硫胺素(Thiamin),0.05mg,1,0.03mg,
14,调味品类,酱油,酱油(均值),维生素,核黄素(Riboflavin),0.13mg,2,0.12mg,
15,调味品类,酱油,酱油(均值),维生素,烟酸(Niacin),1.70mg,1,1.40mg,
16,调味品类,酱油,酱油(均值),维生素,维生素C(Vitamin C),,,,
17,调味品类,酱油,酱油(均值),矿物质,钙(Ca),66mg,1,34mg,
18,调味品类,酱油,酱油(均值),矿物质,磷(P),204mg,1,129mg,
19,调味品类,酱油,酱油(均值),矿物质,钾(K),337mg,4,380mg,
20,调味品类,酱油,酱油(均值),矿物质,钠(Na),5757.0mg,3,6188.0mg,
21,调味品类,酱油,酱油(均值),矿物质,镁(Mg),156mg,1,65mg,
22,调味品类,酱油,酱油(均值),矿物质,铁(Fe),8.6mg,1,5.2mg,
23,调味品类,酱油,酱油(均值),矿物质,锌(Zn),1.17mg,1,0.71mg,
24,调味品类,酱油,酱油(均值),矿物质,硒(Se),1.40μg,2,1.45μg,
25,调味品类,酱油,酱油(均值),矿物质,铜(Cu),0.06mg,4,0.15mg,
26,调味品类,酱油,酱油(均值),矿物质,锰(Mn),1.11mg,1,0.63mg,
27,调味品类,酱油,酱油(均值),矿物质,碘(I),,,,
28,调味品类,酱油,酱油(均值),脂肪酸,饱和脂肪酸(SFA),—,,,
29,调味品类,酱油,酱油(均值),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,调味品类,酱油,酱油(均值),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,调味品类,酱油,酱油(均值),脂肪酸,合计(Total),—,,,
0,禽肉类及制品,鸡,肉鸡(肥),类型,项目,含量,同类排名,同类均值,含量水平
1,禽肉类及制品,鸡,肉鸡(肥),能量与相关成分,食部(Edible),74%,7,79%,
2,禽肉类及制品,鸡,肉鸡(肥),能量与相关成分,水分(Water),46.1g,14,63.5g,
3,禽肉类及制品,鸡,肉鸡(肥),能量与相关成分,能量(Energy),1609kJ,2,811kJ,
4,禽肉类及制品,鸡,肉鸡(肥),能量与相关成分,蛋白质(Protein),16.7g,10,18.3g,
5,禽肉类及制品,鸡,肉鸡(肥),能量与相关成分,脂肪(Fat),35.4g,1,10.8g,
6,禽肉类及制品,鸡,肉鸡(肥),能量与相关成分,胆固醇(Cholesterol),106mg,8,145mg,
7,禽肉类及制品,鸡,肉鸡(肥),能量与相关成分,灰分(Ash),0.9g,9,1.5g,
8,禽肉类及制品,鸡,肉鸡(肥),能量与相关成分,碳水化合物(CHO),0.9g,9,6.0g,
9,禽肉类及制品,鸡,肉鸡(肥),能量与相关成分,总膳食纤维(Dietary fiber),,,,
